Record Length,10000,Source,CH1
,,-0.00035008,0.04
,,-0.00035,0
,,-0.00034992,0
,,-0.00034984,0
,,-0.00034976,0
,,-0.00034968,0
,,-0.0003496,0
,,-0.00034952,0
,,-0.00034944,0
,,-0.00034936,0
,,-0.00034928,0
,,-0.0003492,0
,,-0.00034912,0
,,-0.00034904,0
,,-0.00034896,0
,,-0.00034888,0
,,-0.0003488,0
,,-0.00034872,0
,,-0.00034864,0.04
,,-0.00034856,0.04
,,-0.00034848,0
,,-0.0003484,0
,,-0.00034832,0
,,-0.00034824,0
,,-0.00034816,0
,,-0.00034808,0
,,-0.000348,0
,,-0.00034792,0
,,-0.00034784,0.04
,,-0.00034776,0.04
,,-0.00034768,0
,,-0.0003476,0
,,-0.00034752,0
,,-0.00034744,0
,,-0.00034736,0
,,-0.00034728,0
,,-0.0003472,0
,,-0.00034712,0
,,-0.00034704,0
,,-0.00034696,0
,,-0.00034688,0
,,-0.0003468,0
,,-0.00034672,0
,,-0.00034664,0
,,-0.00034656,0
,,-0.00034648,0
,,-0.0003464,0.04
,,-0.00034632,0.04
,,-0.00034624,0
,,-0.00034616,0
,,-0.00034608,0
,,-0.000346,0
,,-0.00034592,0
,,-0.00034584,0
,,-0.00034576,0
,,-0.00034568,0
,,-0.0003456,0
,,-0.00034552,0
,,-0.00034544,0
,,-0.00034536,0
,,-0.00034528,0
,,-0.0003452,0
,,-0.00034512,0
,,-0.00034504,0
,,-0.00034496,0
,,-0.00034488,0
,,-0.0003448,0
,,-0.00034472,0
,,-0.00034464,0
,,-0.00034456,0
,,-0.00034448,0
,,-0.0003444,0
,,-0.00034432,0
,,-0.00034424,0
,,-0.00034416,0
,,-0.00034408,0
,,-0.000344,0
,,-0.00034392,0
,,-0.00034384,0
,,-0.00034376,0
,,-0.00034368,0
,,-0.0003436,0
,,-0.00034352,0
,,-0.00034344,0
,,-0.00034336,0
,,-0.00034328,0
,,-0.0003432,0
,,-0.00034312,0.04
,,-0.00034304,0.04
,,-0.00034296,0
,,-0.00034288,0
,,-0.0003428,0
,,-0.00034272,0.04
,,-0.00034264,0.04
,,-0.00034256,0
,,-0.00034248,0.04
,,-0.0003424,0.04
,,-0.00034232,0
,,-0.00034224,0
,,-0.00034216,0
,,-0.00034208,0
,,-0.000342,0.04
,,-0.00034192,0.04
,,-0.00034184,0.04
,,-0.00034176,0.04
,,-0.00034168,0
,,-0.0003416,0
,,-0.00034152,0.04
,,-0.00034144,0.04
,,-0.00034136,0
,,-0.00034128,0
,,-0.0003412,0
,,-0.00034112,0
,,-0.00034104,0
,,-0.00034096,0.04
,,-0.00034088,0.04
,,-0.0003408,0
,,-0.00034072,0
,,-0.00034064,0
,,-0.00034056,0
,,-0.00034048,0
,,-0.0003404,0
,,-0.00034032,0.04
,,-0.00034024,0.04
,,-0.00034016,0
,,-0.00034008,0
,,-0.00034,0
,,-0.00033992,0
,,-0.00033984,0
,,-0.00033976,0
,,-0.00033968,0
,,-0.0003396,0.04
,,-0.00033952,0.04
,,-0.00033944,0
,,-0.00033936,0
,,-0.00033928,0
,,-0.0003392,0
,,-0.00033912,0
,,-0.00033904,0
,,-0.00033896,0
,,-0.00033888,0
,,-0.0003388,0
,,-0.00033872,0
,,-0.00033864,0
,,-0.00033856,0
,,-0.00033848,0
,,-0.0003384,0
,,-0.00033832,0
,,-0.00033824,0
,,-0.00033816,0
,,-0.00033808,0
,,-0.000338,0
,,-0.00033792,0
,,-0.00033784,0
,,-0.00033776,0
,,-0.00033768,0
,,-0.0003376,0
,,-0.00033752,0
,,-0.00033744,0
,,-0.00033736,0
,,-0.00033728,0
,,-0.0003372,0
,,-0.00033712,0
,,-0.00033704,0
,,-0.00033696,0
,,-0.00033688,0
,,-0.0003368,0
,,-0.00033672,0
,,-0.00033664,0.04
,,-0.00033656,0.04
,,-0.00033648,0.04
,,-0.0003364,0.04
,,-0.00033632,0.04
,,-0.00033624,0
,,-0.00033616,0
,,-0.00033608,0
,,-0.000336,0
,,-0.00033592,0
,,-0.00033584,0
,,-0.00033576,0
,,-0.00033568,0
,,-0.0003356,0
,,-0.00033552,0
,,-0.00033544,0
,,-0.00033536,0
,,-0.00033528,0
,,-0.0003352,0.04
,,-0.00033512,0.04
,,-0.00033504,0
,,-0.00033496,0
,,-0.00033488,0
,,-0.0003348,0
,,-0.00033472,0
,,-0.00033464,0
,,-0.00033456,0
,,-0.00033448,0
,,-0.0003344,0
,,-0.00033432,0
,,-0.00033424,0
,,-0.00033416,0
,,-0.00033408,0
,,-0.000334,0
,,-0.00033392,0
,,-0.00033384,0
,,-0.00033376,0
,,-0.00033368,0
,,-0.0003336,0
,,-0.00033352,0
,,-0.00033344,0
,,-0.00033336,0
,,-0.00033328,0.04
,,-0.0003332,0.04
,,-0.00033312,0
,,-0.00033304,0
,,-0.00033296,0
,,-0.00033288,0
,,-0.0003328,0
,,-0.00033272,0
,,-0.00033264,0
,,-0.00033256,0
,,-0.00033248,0
,,-0.0003324,0
,,-0.00033232,0
,,-0.00033224,0
,,-0.00033216,0
,,-0.00033208,0
,,-0.000332,0
,,-0.00033192,0
,,-0.00033184,0
,,-0.00033176,0
,,-0.00033168,0
,,-0.0003316,0
,,-0.00033152,0
,,-0.00033144,0
,,-0.00033136,0
,,-0.00033128,0
,,-0.0003312,0
,,-0.00033112,0.04
,,-0.00033104,0.04
,,-0.00033096,0
,,-0.00033088,0
,,-0.0003308,0
,,-0.00033072,0
,,-0.00033064,0
,,-0.00033056,0
,,-0.00033048,0.04
,,-0.0003304,0.04
,,-0.00033032,0.04
,,-0.00033024,0
,,-0.00033016,0
,,-0.00033008,0
,,-0.00033,0
,,-0.00032992,0
,,-0.00032984,0
,,-0.00032976,0
,,-0.00032968,0
,,-0.0003296,0
,,-0.00032952,0
,,-0.00032944,0.04
,,-0.00032936,0.04
,,-0.00032928,0
,,-0.0003292,0
,,-0.00032912,0
,,-0.00032904,0
,,-0.00032896,0
,,-0.00032888,0
,,-0.0003288,0
,,-0.00032872,0
,,-0.00032864,0
,,-0.00032856,0.04
,,-0.00032848,0.04
,,-0.0003284,0
,,-0.00032832,0
,,-0.00032824,0
,,-0.00032816,0
,,-0.00032808,0
,,-0.000328,0
,,-0.00032792,0
,,-0.00032784,0
,,-0.00032776,0
,,-0.00032768,0
,,-0.0003276,0
,,-0.00032752,0
,,-0.00032744,0
,,-0.00032736,0
,,-0.00032728,0.04
,,-0.0003272,0.04
,,-0.00032712,0
,,-0.00032704,0
,,-0.00032696,0
,,-0.00032688,0
,,-0.0003268,0
,,-0.00032672,0
,,-0.00032664,0.04
,,-0.00032656,0.04
,,-0.00032648,0
,,-0.0003264,0
,,-0.00032632,0
,,-0.00032624,0
,,-0.00032616,0
,,-0.00032608,0.04
,,-0.000326,0.04
,,-0.00032592,0
,,-0.00032584,0
,,-0.00032576,0
,,-0.00032568,0
,,-0.0003256,0.04
,,-0.00032552,0.04
,,-0.00032544,0
,,-0.00032536,0.04
,,-0.00032528,0.04
,,-0.0003252,0
,,-0.00032512,0
,,-0.00032504,0
,,-0.00032496,0
,,-0.00032488,0
,,-0.0003248,0
,,-0.00032472,0
,,-0.00032464,0
,,-0.00032456,0
,,-0.00032448,0
,,-0.0003244,0
,,-0.00032432,0.04
,,-0.00032424,0.04
,,-0.00032416,0
,,-0.00032408,0
,,-0.000324,0
,,-0.00032392,0
,,-0.00032384,0
,,-0.00032376,0
,,-0.00032368,0
,,-0.0003236,0.04
,,-0.00032352,0.04
,,-0.00032344,0
,,-0.00032336,0
,,-0.00032328,0
,,-0.0003232,0
,,-0.00032312,0
,,-0.00032304,0
,,-0.00032296,0
,,-0.00032288,0
,,-0.0003228,0
,,-0.00032272,0
,,-0.00032264,0
,,-0.00032256,0.04
,,-0.00032248,0.04
,,-0.0003224,0
,,-0.00032232,0
,,-0.00032224,0
,,-0.00032216,0
,,-0.00032208,0
,,-0.000322,0
,,-0.00032192,0
,,-0.00032184,0
,,-0.00032176,0
,,-0.00032168,0
,,-0.0003216,0
,,-0.00032152,0
,,-0.00032144,0
,,-0.00032136,0.04
,,-0.00032128,0.04
,,-0.0003212,0
,,-0.00032112,0
,,-0.00032104,0
,,-0.00032096,0
,,-0.00032088,0
,,-0.0003208,0
,,-0.00032072,0
,,-0.00032064,0.04
,,-0.00032056,0.04
,,-0.00032048,0
,,-0.0003204,0
,,-0.00032032,0
,,-0.00032024,0.04
,,-0.00032016,0.04
,,-0.00032008,0
,,-0.00032,0
,,-0.00031992,0
,,-0.00031984,0
,,-0.00031976,0
,,-0.00031968,0
,,-0.0003196,0
,,-0.00031952,0
,,-0.00031944,0
,,-0.00031936,0
,,-0.00031928,0
,,-0.0003192,0
,,-0.00031912,0
,,-0.00031904,0
,,-0.00031896,0
,,-0.00031888,0
,,-0.0003188,0
,,-0.00031872,0
,,-0.00031864,0
,,-0.00031856,0
,,-0.00031848,0
,,-0.0003184,0
,,-0.00031832,0
,,-0.00031824,0
,,-0.00031816,0
,,-0.00031808,0
,,-0.000318,0
,,-0.00031792,0
,,-0.00031784,0
,,-0.00031776,0
,,-0.00031768,0
,,-0.0003176,0
,,-0.00031752,0
,,-0.00031744,0.04
,,-0.00031736,0.04
,,-0.00031728,0
,,-0.0003172,0
,,-0.00031712,0.04
,,-0.00031704,0.04
,,-0.00031696,0
,,-0.00031688,0
,,-0.0003168,0.04
,,-0.00031672,0.04
,,-0.00031664,0
,,-0.00031656,0
,,-0.00031648,0
,,-0.0003164,0
,,-0.00031632,0
,,-0.00031624,0
,,-0.00031616,0
,,-0.00031608,0
,,-0.000316,0
,,-0.00031592,0
,,-0.00031584,0
,,-0.00031576,0
,,-0.00031568,0
,,-0.0003156,0
,,-0.00031552,0
,,-0.00031544,0.04
,,-0.00031536,0.04
,,-0.00031528,0
,,-0.0003152,0.04
,,-0.00031512,0.04
,,-0.00031504,0
,,-0.00031496,0
,,-0.00031488,0
,,-0.0003148,0.04
,,-0.00031472,0.04
,,-0.00031464,0
,,-0.00031456,0
,,-0.00031448,0
,,-0.0003144,0
,,-0.00031432,0
,,-0.00031424,0
,,-0.00031416,0
,,-0.00031408,0
,,-0.000314,0
,,-0.00031392,0
,,-0.00031384,0
,,-0.00031376,0
,,-0.00031368,0
,,-0.0003136,0
,,-0.00031352,0
,,-0.00031344,0
,,-0.00031336,0.04
,,-0.00031328,0.04
,,-0.0003132,0
,,-0.00031312,0
,,-0.00031304,0
,,-0.00031296,0
,,-0.00031288,0
,,-0.0003128,0
,,-0.00031272,0
,,-0.00031264,0
,,-0.00031256,0
,,-0.00031248,0
,,-0.0003124,0
,,-0.00031232,0
,,-0.00031224,0
,,-0.00031216,0
,,-0.00031208,0
,,-0.000312,0
,,-0.00031192,0
,,-0.00031184,0
,,-0.00031176,0
,,-0.00031168,0
,,-0.0003116,0
,,-0.00031152,0
,,-0.00031144,0
,,-0.00031136,0
,,-0.00031128,0
,,-0.0003112,0
,,-0.00031112,0
,,-0.00031104,0.04
,,-0.00031096,0.04
,,-0.00031088,0
,,-0.0003108,0
,,-0.00031072,0
,,-0.00031064,0
,,-0.00031056,0
,,-0.00031048,0
,,-0.0003104,0
,,-0.00031032,0
,,-0.00031024,0
,,-0.00031016,0
,,-0.00031008,0
,,-0.00031,0
,,-0.00030992,0
,,-0.00030984,0
,,-0.00030976,0
,,-0.00030968,0
,,-0.0003096,0
,,-0.00030952,0
,,-0.00030944,0
,,-0.00030936,0
,,-0.00030928,0
,,-0.0003092,0
,,-0.00030912,0
,,-0.00030904,0
,,-0.00030896,0
,,-0.00030888,0
,,-0.0003088,0
,,-0.00030872,0
,,-0.00030864,0
,,-0.00030856,0
,,-0.00030848,0
,,-0.0003084,0
,,-0.00030832,0
,,-0.00030824,0
,,-0.00030816,0
,,-0.00030808,0.04
,,-0.000308,0.04
,,-0.00030792,0
,,-0.00030784,0
,,-0.00030776,0
,,-0.00030768,0
,,-0.0003076,0
,,-0.00030752,0
,,-0.00030744,0
,,-0.00030736,0
,,-0.00030728,0
,,-0.0003072,0
,,-0.00030712,0
,,-0.00030704,0
,,-0.00030696,0
,,-0.00030688,0
,,-0.0003068,0
,,-0.00030672,0
,,-0.00030664,0
,,-0.00030656,0
,,-0.00030648,0
,,-0.0003064,0
,,-0.00030632,0
,,-0.00030624,0
,,-0.00030616,0
,,-0.00030608,0
,,-0.000306,0
,,-0.00030592,0
,,-0.00030584,0.04
,,-0.00030576,0.04
,,-0.00030568,0
,,-0.0003056,0
,,-0.00030552,0
,,-0.00030544,0
,,-0.00030536,0
,,-0.00030528,0
,,-0.0003052,0
,,-0.00030512,0
,,-0.00030504,0
,,-0.00030496,0
,,-0.00030488,0.04
,,-0.0003048,0.04
,,-0.00030472,0
,,-0.00030464,0
,,-0.00030456,0
,,-0.00030448,0.04
,,-0.0003044,0.04
,,-0.00030432,0
,,-0.00030424,0
,,-0.00030416,0
,,-0.00030408,0
,,-0.000304,0
,,-0.00030392,0.04
,,-0.00030384,0.04
,,-0.00030376,0
,,-0.00030368,0.04
,,-0.0003036,0.04
,,-0.00030352,0
,,-0.00030344,0
,,-0.00030336,0
,,-0.00030328,0
,,-0.0003032,0
,,-0.00030312,0
,,-0.00030304,0
,,-0.00030296,0
,,-0.00030288,0
,,-0.0003028,0
,,-0.00030272,0
,,-0.00030264,0
,,-0.00030256,0
,,-0.00030248,0
,,-0.0003024,0
,,-0.00030232,0
,,-0.00030224,0
,,-0.00030216,0
,,-0.00030208,0
,,-0.000302,0.04
,,-0.00030192,0.04
,,-0.00030184,0.04
,,-0.00030176,0.04
,,-0.00030168,0
,,-0.0003016,0
,,-0.00030152,0
,,-0.00030144,0
,,-0.00030136,0
,,-0.00030128,0
,,-0.0003012,0
,,-0.00030112,0
,,-0.00030104,0
,,-0.00030096,0
,,-0.00030088,0
,,-0.0003008,0
,,-0.00030072,0
,,-0.00030064,0
,,-0.00030056,0
,,-0.00030048,0
,,-0.0003004,0
,,-0.00030032,0.04
,,-0.00030024,0.04
,,-0.00030016,0
,,-0.00030008,0
,,-0.0003,0
,,-0.00029992,0
,,-0.00029984,0
,,-0.00029976,0.04
,,-0.00029968,0.04
,,-0.0002996,0.04
,,-0.00029952,0.04
,,-0.00029944,0
,,-0.00029936,0
,,-0.00029928,0
,,-0.0002992,0.04
,,-0.00029912,0.04
,,-0.00029904,0
,,-0.00029896,0
,,-0.00029888,0
,,-0.0002988,0
,,-0.00029872,0
,,-0.00029864,0
,,-0.00029856,0
,,-0.00029848,0
,,-0.0002984,0
,,-0.00029832,0.04
,,-0.00029824,0.04
,,-0.00029816,0
,,-0.00029808,0
,,-0.000298,0
,,-0.00029792,0.04
,,-0.00029784,0.04
,,-0.00029776,0
,,-0.00029768,0
,,-0.0002976,0
,,-0.00029752,0
,,-0.00029744,0
,,-0.00029736,0
,,-0.00029728,0
,,-0.0002972,0
,,-0.00029712,0
,,-0.00029704,0
,,-0.00029696,0
,,-0.00029688,0
,,-0.0002968,0
,,-0.00029672,0
,,-0.00029664,0
,,-0.00029656,0
,,-0.00029648,0
,,-0.0002964,0.04
,,-0.00029632,0.04
,,-0.00029624,0
,,-0.00029616,0
,,-0.00029608,0
,,-0.000296,0
,,-0.00029592,0
,,-0.00029584,0
,,-0.00029576,0.04
,,-0.00029568,0.04
,,-0.0002956,0
,,-0.00029552,0
,,-0.00029544,0
,,-0.00029536,0.04
,,-0.00029528,0.04
,,-0.0002952,0
,,-0.00029512,0
,,-0.00029504,0
,,-0.00029496,0
,,-0.00029488,0
,,-0.0002948,0
,,-0.00029472,0
,,-0.00029464,0.04
,,-0.00029456,0.04
,,-0.00029448,0
,,-0.0002944,0
,,-0.00029432,0
,,-0.00029424,0
,,-0.00029416,0
,,-0.00029408,0.04
,,-0.000294,0.04
,,-0.00029392,0
,,-0.00029384,0
,,-0.00029376,0
,,-0.00029368,0
,,-0.0002936,0
,,-0.00029352,0
,,-0.00029344,0.04
,,-0.00029336,0.04
,,-0.00029328,0
,,-0.0002932,0
,,-0.00029312,0
,,-0.00029304,0.04
,,-0.00029296,0.04
,,-0.00029288,0
,,-0.0002928,0
,,-0.00029272,0
,,-0.00029264,0
,,-0.00029256,0
,,-0.00029248,0
,,-0.0002924,0
,,-0.00029232,0
,,-0.00029224,0
,,-0.00029216,0
,,-0.00029208,0
,,-0.000292,0
,,-0.00029192,0
,,-0.00029184,0
,,-0.00029176,0
,,-0.00029168,0
,,-0.0002916,0
,,-0.00029152,0
,,-0.00029144,0
,,-0.00029136,0
,,-0.00029128,0
,,-0.0002912,0
,,-0.00029112,0
,,-0.00029104,0
,,-0.00029096,0
,,-0.00029088,0
,,-0.0002908,0
,,-0.00029072,0
,,-0.00029064,0
,,-0.00029056,0
,,-0.00029048,0.04
,,-0.0002904,0.04
,,-0.00029032,0
,,-0.00029024,0
,,-0.00029016,0
,,-0.00029008,0
,,-0.00029,0
,,-0.00028992,0
,,-0.00028984,0
,,-0.00028976,0
,,-0.00028968,0
,,-0.0002896,0.04
,,-0.00028952,0.04
,,-0.00028944,0.04
,,-0.00028936,0.04
,,-0.00028928,0
,,-0.0002892,0
,,-0.00028912,0
,,-0.00028904,0
,,-0.00028896,0
,,-0.00028888,0
,,-0.0002888,0
,,-0.00028872,0
,,-0.00028864,0
,,-0.00028856,0
,,-0.00028848,0
,,-0.0002884,0.04
,,-0.00028832,0.04
,,-0.00028824,0
,,-0.00028816,0
,,-0.00028808,0
,,-0.000288,0
,,-0.00028792,0
,,-0.00028784,0.04
,,-0.00028776,0.04
,,-0.00028768,0
,,-0.0002876,0
,,-0.00028752,0
,,-0.00028744,0
,,-0.00028736,0
,,-0.00028728,0
,,-0.0002872,0
,,-0.00028712,0
,,-0.00028704,0
,,-0.00028696,0.04
,,-0.00028688,0.04
,,-0.0002868,0
,,-0.00028672,0
,,-0.00028664,0
,,-0.00028656,0
,,-0.00028648,0.04
,,-0.0002864,0.04
,,-0.00028632,0
,,-0.00028624,0
,,-0.00028616,0
,,-0.00028608,0
,,-0.000286,0
,,-0.00028592,0
,,-0.00028584,0
,,-0.00028576,0.04
,,-0.00028568,0.04
,,-0.0002856,0
,,-0.00028552,0
,,-0.00028544,0
,,-0.00028536,0
,,-0.00028528,0.04
,,-0.0002852,0.04
,,-0.00028512,0.04
,,-0.00028504,0.04
,,-0.00028496,0.04
,,-0.00028488,0
,,-0.0002848,0
,,-0.00028472,0
,,-0.00028464,0
,,-0.00028456,0
,,-0.00028448,0
,,-0.0002844,0
,,-0.00028432,0
,,-0.00028424,0
,,-0.00028416,0
,,-0.00028408,0
,,-0.000284,0
,,-0.00028392,0
,,-0.00028384,0
,,-0.00028376,0
,,-0.00028368,0
,,-0.0002836,0
,,-0.00028352,0
,,-0.00028344,0
,,-0.00028336,0
,,-0.00028328,0.04
,,-0.0002832,0.04
,,-0.00028312,0
,,-0.00028304,0
,,-0.00028296,0
,,-0.00028288,0
,,-0.0002828,0
,,-0.00028272,0
,,-0.00028264,0.04
,,-0.00028256,0.04
,,-0.00028248,0.04
,,-0.0002824,0
,,-0.00028232,0
,,-0.00028224,0
,,-0.00028216,0
,,-0.00028208,0
,,-0.000282,0
,,-0.00028192,0
,,-0.00028184,0
,,-0.00028176,0
,,-0.00028168,0
,,-0.0002816,0
,,-0.00028152,0
,,-0.00028144,0
,,-0.00028136,0
,,-0.00028128,0
,,-0.0002812,0
,,-0.00028112,0
,,-0.00028104,0
,,-0.00028096,0
,,-0.00028088,0.04
,,-0.0002808,0.04
,,-0.00028072,0
,,-0.00028064,0
,,-0.00028056,0
,,-0.00028048,0
,,-0.0002804,0
,,-0.00028032,0
,,-0.00028024,0
,,-0.00028016,0
,,-0.00028008,0
,,-0.00028,0
,,-0.00027992,0
,,-0.00027984,0
,,-0.00027976,0
,,-0.00027968,0
,,-0.0002796,0
,,-0.00027952,0
,,-0.00027944,0
,,-0.00027936,0
,,-0.00027928,0
,,-0.0002792,0
,,-0.00027912,0
,,-0.00027904,0
,,-0.00027896,0
,,-0.00027888,0
,,-0.0002788,0
,,-0.00027872,0
,,-0.00027864,0
,,-0.00027856,0
,,-0.00027848,0
,,-0.0002784,0
,,-0.00027832,0.04
,,-0.00027824,0.04
,,-0.00027816,0
,,-0.00027808,0
,,-0.000278,0
,,-0.00027792,0
,,-0.00027784,0
,,-0.00027776,0
,,-0.00027768,0
,,-0.0002776,0
,,-0.00027752,0
,,-0.00027744,0
,,-0.00027736,0
,,-0.00027728,0
,,-0.0002772,0
,,-0.00027712,0
,,-0.00027704,0
,,-0.00027696,0
,,-0.00027688,0
,,-0.0002768,0
,,-0.00027672,0
,,-0.00027664,0
,,-0.00027656,0
,,-0.00027648,0
,,-0.0002764,0
,,-0.00027632,0.04
,,-0.00027624,0.04
,,-0.00027616,0
,,-0.00027608,0
,,-0.000276,0
,,-0.00027592,0
,,-0.00027584,0
,,-0.00027576,0
,,-0.00027568,0
,,-0.0002756,0
,,-0.00027552,0
,,-0.00027544,0
,,-0.00027536,0
,,-0.00027528,0
,,-0.0002752,0
,,-0.00027512,0
,,-0.00027504,0
,,-0.00027496,0
,,-0.00027488,0.04
,,-0.0002748,0.04
,,-0.00027472,0
,,-0.00027464,0
,,-0.00027456,0.04
,,-0.00027448,0.04
,,-0.0002744,0.04
,,-0.00027432,0.04
,,-0.00027424,0.04
,,-0.00027416,0
